coleta_local,codigo,papel,leitura,nivel_m,tendencia,chuva_1h,chuva_6h,chuva_24h,chuva_48h,chuva_72h
2026-08-27 16:38,DCSC-00013,Rio do Sul (âncora),2026-08-27 16:38,2.2,0.01,0.0,0.1,0.2,0.6,0.8
2026-08-27 16:38,DCSC-00039,Ituporanga cidade,2026-08-27 16:38,1.35,-0.06,0.0,0.0,0.0,0.0,0.0
2026-08-27 16:38,DCSC-00041,Taió cidade,2026-08-27 16:38,1.86,0.11,0.0,0.0,0.0,0.0,0.1
2026-08-27 16:38,DCSC-00001,Agronômica,2026-08-27 16:38,1.92,-0.69,0.0,0.0,0.0,0.0,0.0
2026-08-27 16:38,DCSC-00022,Rio do Oeste,2026-08-27 08:57,,,,,,,
2026-08-27 16:38,DCSC-00025,Agrolândia,2026-08-27 16:38,0.58,-0.04,0.0,0.0,0.0,0.0,0.0
2026-08-27 16:38,DCSC-00031,Laurentino,2026-08-27 16:38,,,0.0,0.0,0.0,0.0,0.0
2026-08-27 16:38,DCSC-00033,Pouso Redondo,2026-08-27 16:38,1.41,0.02,0.0,0.0,0.0,0.0,0.0
2026-08-27 16:38,DCSC-00014,Trombudo Central 1,2026-08-27 16:38,,,0.0,0.0,0.0,0.0,0.0
2026-08-27 16:38,DCSC-00035,Trombudo Central 2,2026-08-27 16:38,1.47,1.43,0.0,0.0,0.0,0.0,0.0
2026-08-27 16:38,DCSC-00010,Rio do Campo,2026-08-27 16:38,,,0.0,0.0,0.0,0.2,0.2
2026-08-27 16:38,DCSC-00016,Alfredo Wagner,2026-08-27 16:38,,,0.0,0.0,0.0,0.0,0.0
2026-08-27 16:38,DCSC-00024,Vidal Ramos,2026-08-27 16:38,2.37,0.73,0.0,0.0,0.0,0.0,0.0
2026-08-27 16:38,DCSC-00008,Aurora,2026-08-27 16:38,,,0.0,0.0,0.0,0.0,0.0
2026-08-27 16:38,DCSC-00038,Barragem Sul (montante),2026-08-27 16:38,17.57,17.64,0.0,0.0,0.0,0.0,0.0
2026-08-27 16:38,DCSC-00040,Barragem Oeste (montante),2026-08-27 16:38,2.7,-3.6,0.0,0.0,0.0,0.1,0.1
2026-08-27 16:45,DCSC-00013,Rio do Sul (âncora),2026-08-27 16:44,2.2,0.01,0.0,0.1,0.2,0.6,0.8
2026-08-27 16:45,DCSC-00039,Ituporanga cidade,2026-08-27 16:44,1.35,-0.06,0.0,0.0,0.0,0.0,0.0
2026-08-27 16:45,DCSC-00041,Taió cidade,2026-08-27 16:44,1.86,0.11,0.0,0.0,0.0,0.0,0.1
2026-08-27 16:45,DCSC-00001,Agronômica,2026-08-27 16:44,1.92,-0.69,0.0,0.0,0.0,0.0,0.0
2026-08-27 16:45,DCSC-00022,Rio do Oeste,2026-08-27 08:57,,,,,,,
2026-08-27 16:45,DCSC-00025,Agrolândia,2026-08-27 16:44,0.58,-0.04,0.0,0.0,0.0,0.0,0.0
2026-08-27 16:45,DCSC-00031,Laurentino,2026-08-27 16:44,,,0.0,0.0,0.0,0.0,0.0
2026-08-27 16:45,DCSC-00033,Pouso Redondo,2026-08-27 16:44,1.41,0.02,0.0,0.0,0.0,0.0,0.0
2026-08-27 16:45,DCSC-00014,Trombudo Central 1,2026-08-27 16:44,,,0.0,0.0,0.0,0.0,0.0
2026-08-27 16:45,DCSC-00035,Trombudo Central 2,2026-08-27 16:44,1.47,1.43,0.0,0.0,0.0,0.0,0.0
2026-08-27 16:45,DCSC-00010,Rio do Campo,2026-08-27 16:44,,,0.0,0.0,0.0,0.2,0.2
2026-08-27 16:45,DCSC-00016,Alfredo Wagner,2026-08-27 16:44,,,0.0,0.0,0.0,0.0,0.0
2026-08-27 16:45,DCSC-00024,Vidal Ramos,2026-08-27 16:44,2.37,0.73,0.0,0.0,0.0,0.0,0.0
2026-08-27 16:45,DCSC-00008,Aurora,2026-08-27 16:44,,,0.0,0.0,0.0,0.0,0.0
2026-08-27 16:45,DCSC-00038,Barragem Sul (montante),2026-08-27 16:44,17.69,17.76,0.0,0.0,0.0,0.0,0.0
2026-08-27 16:45,DCSC-00040,Barragem Oeste (montante),2026-08-27 16:44,2.7,-3.6,0.0,0.0,0.0,0.1,0.1
2026-08-27 17:18,DCSC-00013,Rio do Sul (âncora),2026-08-27 17:18,2.2,0.01,0.0,0.1,0.2,0.6,0.8
2026-08-27 17:18,DCSC-00039,Ituporanga cidade,2026-08-27 17:18,1.35,-0.06,0.0,0.0,0.0,0.0,0.0
2026-08-27 17:18,DCSC-00041,Taió cidade,2026-08-27 17:18,1.86,0.11,0.0,0.0,0.0,0.0,0.1
